%
% This file is generated from the data of UniCNS-UTF32
% in cid2code.txt (Version 10/24/2017)
% for Adobe-CNS1-7
%
% Reference:
%   https://github.com/adobe-type-tools/cmap-resources/
%   Adobe-CNS1-7/cid2code.txt
%
% A newer CMap may be required for some code points.
%


%Adobe-CNS1-0
200CC,2008A,27607

%Adobe-CNS1-1
23ED7,26ED3,257E0,28BE9,258E1,294D9,259AC,2648D,25C01,2530E
26F26,21922,2373F,240E1,2408B,2410F,26C21,266B1,20FDF,20BA8
20E0D,28B13,24436,20465,25651,201AB,203CB,2030A,20414,202C0
28EB3,20275,2020C,24A0E,23E8A,23595,23E39,23EBF,21884,23E89
205E0,204A3,20492,20491,28A9C,2070E,20873,2438C,20C20,249AC
210E4,20E1D,24ABC,2408D,240C9,20345,20BC6,28A46,216FA,2176F
21710,25946,219F3,21861,24295,25E83,28BD7,20413,21303,289FB
21996,2197C,23AEE,21903,21904,218A0,216FE,28A47,21DBA,23472
289A8,21927,217AB,2173B,275FD,22860,2262B,225AF,225BE,29088
26F73,2003E,20046,2261B,22C9B,22D07,246D4,2914D,24665,22B6A
22B22,23450,298EA,22E78,249E3,22D67,22CA1,2308E,232AD,24989
232AB,232E0,218D9,2943F,23289,231B3,25584,28B22,2558F,216FC
2555B,25425,23103,2182A,23234,2320F,23182,242C9,26D24,27870
21DEB,232D2,232E1,25872,2383A,237BC,237A2,233FE,2462A,237D5
24487,21912,23FC0,23C9A,28BEA,28ACB,2801E,289DC,23F7F,2403C
2431A,24276,2478F,24725,24AA4,205EB,23EF8,2365F,24A4A,24917
25FE1,24ADF,28C23,23F35,26DEA,24CD9,24D06,2A5C6,28ACC,249AB
2498E,24A4E,249C5,248F3,28AE3,21864,25221,251E7,23232,24697
23781,248F0,24ABA,24AC7,24A96,261AE,25581,27741,256E3,23EFA
216E6,20D4C,2498C,20299,23DBA,2176E,201D4,20C0D,226F5,25AAF
25A9C,2025B,25BC6,25BB3,25EBC,25EA6,249F9,217B0,26261,2615C
27B48,25E82,26B75,20916,2004E,235CF,26412,263F8,2082C,25AE9
25D43,25E0E,2343F,249F7,265AD,265A0,27127,26CD1,267B4,26A42
26A51,26DA7,2721B,21840,218A1,218D8,2F9BC,23D8F,27422,25683
27785,27784,28BF5,28BD9,28B9C,289F9,29448,24284,21845,27DDC
24C09,22321,217DA,2492F,28A4B,28AFC,28C1D,28C3B,28D34,248FF
24A42,243EA,23225,28EE7,28E66,28E65,249ED,24A78,23FEE,290B0
29093,257DF,28989,28C26,28B2F,263BE,2421B,20F26,28BC5,24AB2
294DA,295D7,28B50,24A67,28B64,28A45,27B06,28B65,258C8,298F1
29948,21302,249B8,214E8,2271F,23DB8,22781,2296B,29E2D,2A1F5
2A0FE,24104,2A1B4,2A0ED,2A0F3,2992F,26E12,26FDF,26B82,26DA4
26E84,26DF0,26E00,237D7,26064,2359C,23640,249DE,202BF,2555D
21757,231C9,24941,241B5,241AC,26C40,24F97,217B5,28A49,24488
289FC,218D6,20F1D,26CC0,21413,242FA,22C26,243C1,23DB7,26741
2615B,260A4,249B9,2498B,289FA,28B63,2189F,24AB3,24A3E,24A94
217D9,24A66,203A7,21424,249E5,24916,24976,204FE,28ACE,28A16
28BE7,255D5,28A82,24943,20CFF,2061A,20BEB,20CB8,217FA,216C2
24A50,21852,28AC0,249AD,218BF,21883,27484,23D5B,28A81,21862
20AB4,2139C,28218,290E4,27E4F,23FED,23E2D,203F5,28C1C,26BC0
21452,24362,24A71,22FE3,212B0,223BD,21398,234E5,27BF4,236DF
28A83,237D6,233FA,24C9F,236AD,26CB7,26D26,26D51,26C82,26FDE
2173A,26C80,27053,217DB,217B3,21905,241FC,2173C,242A5,24293
23EF9,27736,2445B,242CA,24259,289E1,26D28,244CE,27E4D,243BD
24256,21304,243E9,2F825,23300,27AF4,256F6,27B18,27A79,249BA
20346,27657,25FE2,275FE,2209A,28A9A,2403B,24A45,205CA,20611
21EA8,23CFF,285E8,299C9,221C3,28B4E,20C78,20779,23F4A,24AA7
26B52,27632,2493F,233CC,28948,21D90,27C12,24F9A,26BF7,2191C
249F6,23FEF,2271B,257E1,2F8CD,2F806,24521,24934,26CBD,26411
290C0,20A11,26469,20021,23519,2258D,2217A,249D0,20EF8,22926
28473,217B1,24A2A,21820,29CAD,298A4,2160A,2372F,280E8,213C5
291A8,270AF,289AB,2417A,2A2DF,28318,26E07,2816F,269B5,213ED
2322F,28C30,28949,24988,24AA5,23F81,21FA1,295E9,2789D,28024
27A3E,23CB7,26258,29D98,23D40,20E9D,282E2,20C41,20C96,20E76
22C62,20EA2,21075,22B43,22EB3,20DA7,2688A,20EF9,27FF9,247E0
29D7C,275A3,26048,24618,29EAC,29FDE,272B2,2048E,20EB6,27F2E
2A434,243F2,29E06,294D0,26335,20D28,20D71,21F0F,21DD1,2176D
2B473,28E97,25C21,20CD4,201F2,2A64A,2837D,2A2B2,24ABB,26E05
2AE67,2251B,2DF3C,28E39,20F3B,25F1A,27486,267CC,24011,2F922
20547,205DF,23FC5,24942,289E4,219DB,23CC8,24933,289AA,202A0
26BB3,21305,224ED,26D29,27A84,23600,24AB1,22513,2037E,20380
20347,2041F,249A4,20487,233B4,20BFF,220FC,202E5,22530,2058E
23233,21983,205B3,23C99,24AA6,2372D,26B13,2F829,28ADE,23F80
20954,23FEC,20BE2,21726,216E8,286AB,2F832,21596,21613,28A9B
25772,20B8F,23FEB,22DA3,20C77,26B53,20D74,2170D,20EDD,20D4D
289BC,22698,218D7,2403A,24435,210B4,2328A,28B66,2124F,241A5
26C7E,21416,21454,24363,24BF5,2123C,2A150,24278,2163E,21692
20D4E,26C81,26D2A,217DC,217FB,217B2,26DA6,21828,216D5,26E45
249A9,26FA1,22554,21911,216B8,27A0E,20204,21A34,259CC,205A5
21B44,21CA5,26B28,21DF9,21E37,21EA4,24901,22049,22173,244BC
20CD3,21771,28482,201C1,2F894,2133A,26888,223D0,22471,26E6E
28A36,25250,21F6A,270F8,22668,2029E,28A29,227B4,24982,2498F
27A53,2F8A6,26ED2,20656,23FB7,2285F,28B9D,2995D,22980,228C1
20118,21770,22E0D,249DF,2138E,217FC,22E36,2571D,24A28,24A23
24940,21829,23400,231F7,231F8,231A4,231A5,20E75,251E6,23231
285F4,231C8,25313,228F7,2439C,24A21,237C2,2F8DB,241CD,290ED
233E6,26DA0,2346F,28ADF,235CD,2363C,28A4A,203C9,23659,2212A
23703,2919C,20923,227CD,23ADB,21958,23B5A,23EFC,2248B,248F1
26B51,23DBC,23DBD,241A4,2490C,24900,23CC9,20D32,231F9,22491
26D25,26DA1,26DEB,2497F,24085,26E72,26F74,28B21,2F908,23E2F
23F82,2304B,23E30,21497,2403D,29170,24144,24091,24155,24039
23FF0,23FB4,2413F,24156,24157,24140,261DD,24277,24365,242C1
2445A,24A27,24A22,28BE8,25605,24974,23044,24823,2882B,28804
20C3A,26A2E,241E2,216E7,24A24,249B7,2498D,249FB,24A26,2F92F
228AD,28EB2,24A8C,2415F,24A79,28B8F,28C03,2189E,21988,28ED9
21A4B,28EAC,24F82,24D13,263F5,26911,2690E,26F9F,2509D,2517D
21E1C,25220,232AC,28964,28968,216C1,255E0,2760C,2261C,25857
27B39,27126,2910D,20C42,20D15,2512B,22CC6,20341,24DB8,294E5
280BE,22C38,2815D,269F2,24DEA,20D7C,20FB4,20CD5,2BAB3,20E96
20F64,22CA9,28256,244D3,20D46,29A4D,280E9,24EA7,22CC2,295F4
252C7,297D4,22D44,2BCD7,22BCA,2B977,266DA,26716,279A0,25052
20C43,28B4C,20731,201A9,22D8D,245C8,204FC,26097,20F4C,22A66
2109D,20D9C,22775,2A601,20E09,22ACF,2C5F8,210C8,239C2,2829B
25E49,220C7,22CB2,29720,24E3B,2C9A0,27574,22E8B,22208,2A65B
28CCD,20E7A,20C34,27639,22BCE,22C51,210C7,2A632,28CD2,28D99
28CCA,2775E,2F828,2107B,210D3,212FE,247EF,24EA5,24F5C,28189
2B42C

%Adobe-CNS1-3
2010C,200D1,200CD,200CB,21FE8,200CA,2010E,21BC1,2F878,20086
248E9,2626A,2634B,26612,26951,278B2,28E0F,29810,20087,2A3A9
21145,27735,209E7,29DF6,2700E,2A133,2846C,21DCA,205D0,22AE6
27D84,210F4,20C0B,278C8,260A5,22D4C,21077,2106F,221A1,20D96
22CC9,20F31,2681C,210CF,22803,22939,251E3,20E8C,20F8D,20EAA
20F30,20D47,2114F,20E4C,20EAB,20BA9,20D48,210C0,2113D,22696
20FAD,233F4,20D7E,20D7F,22C55,20E98,20F2E,26B50,29EC3,22DEE
26572,280BD,20EFA,20E0F,20E77,20EFB,24DEB,20CD6,227B5,210C9
20E10,20E78,21078,21148,28207,21455,20E79,24E50,22DA4,2101D
2101E,210F5,210F6,20E11,27694,282CD,20FB5,20E7B,2517E,20FB6
21180,252D8,2A2BD,249DA,2183A,24177,2827C,2573D,25B74,2313D
289C0,23F41,20325,20ED8,25C65,24FB8,20B0D,26B0A,22EEF,23CB5
26E99,23F8F,24CC9,2A014,286BC,28501,2267A,269A8,2424B,2215B
2037F,2A45B,249EC,24962,27109,24A4F,24A5D,217DF,23AFA,20214
208D5,20619,21F9E,2A2B6,2915B,28A59,29420,248F2,25535,20CCF
27967,21BC2,20094,202B7,203A0,204D7,205D5,20615,20676,216BA
20AC2,20ACD,20BBF,2F83B,20BCB,20BFB,20C3B,20C53,20C65,20C7C
20C8D,20CB5,20CDD,20CED,20D6F,20DB2,20DC8,20E04,20E0E,20ED7
20F90,20F2D,20E73,20FBC,2105C,2104F,21076,21088,21096,210BF
2112F,2113B,212E3,21375,21336,21577,21619,217C3,217C7,2182D
2196A,21A2D,21A45,21C2A,21C70,21CAC,21EC8,21ED5,21F15,22045
2227C,223D7,223FA,2272A,22871,2294F,22967,22993,22AD5,22AE8
22B0E,22B3F,22C4C,22C88,22CB7,25BE8,22D08,22D12,22DB7,22D95
22E42,22F74,22FCC,23033,23066,2331F,233DE,23567,235F3,2361A
23716,23AA7,23E11,23EB9,24119,242EE,2430D,24334,24396,24404
244D6,24674,2472F,24812,248FB,24A15,24AC0,24F86,2502C,25299
25419,25446,2546E,2553F,2555E,25562,25566,257C7,2585D,25903
25AAE,25B89,25C06,26102,261B2,26402,2644A,26484,26488,26512
265BF,266B5,266FC,26799,2686E,2685E,268C7,26926,26939,269FA
26A2D,26A34,26B5B,26B9D,26CA4,26DAE,2704B,271CD,27280,27285
2728B,272E6,27450,277CC,27858,279DD,279FD,27A0A,27B0B,27D66
28009,28023,28048,28083,28090,280F4,2812E,2814F,281AF,2821A
28306,2832F,2838A,28468,286AA,28956,289B8,289E7,289E8,28B46
28BD4,28C09,28FC5,290EC,29110,2913C,2915E,24ACA,294E7,295B0
295B8,29732,298D1,29949,2996A,299C3,29A28,29B0E,29D5A,29D9B
29EF8,29F23,2A293,2A2FF,2A5CB,20C9C,224B0,24A93,28B2C,217F5
28B6C,28B99,266AF,27655,25635,25956,25E81,20E6D,23E88,24C9E
217F6,2187B,25C4A,25311,25ED8,20FEA,20D49,236BA,25148,210C1
24706,26893,226F4,27D2F,241A3,27D73,26ED0,272B6,211D9,23CFC
2A6A9,20EAC,21CA2,24FC2,20FEB,22DA0,20FEC,20E0A,20FED,21187
24B6E,25A95,20979,22465,23CFE,29F30,24FA9,2959E,23DB6,267B3
23720,23EF7,23E2C,230DA,212A9,24963,270AE,2176C,27164,26D22
24AE2,2493E,26D23,203FC,23CFD,24919,24A77,28A5A,2F840,2183B
26159,233F5,28BC2,21D46,26ED1,28B2D,23CC7,25ED7,27656,25531
21944,29903,26DDC,270AD,261AD,28A0F,23677,200EE,26846,24F0E
2634C,2626B,21877,2408C,2307E,21E3D,203B5,205C3,21376,24A12
28B2B,26083

%Adobe-CNS1-4
29C73,2414E,251CD,25D30,28A32,23281,2A107,21980,2870F,2A2BA
29947,28AEA,2207E,289E3,21DB6,22712,233F9,23C63,24505,24A13
25CA4,25695,28DB9,2143F,2497B,2710D,26D74,26B15,26FBE

%Adobe-CNS1-5
27267,27CB1,27CC5,242BF,23617,27352,26E8B,270D2,2A351,27C6C
26B23,25A54,21A63,23E06,23F61,28BB9,27BEF,21D5E,29EB0,29945
20A6F,23256,22796,23B1A,23551,240EC,21E23,201A4,26C41,20239
298FA,20B9F,221C1,2896D,29079,2A1B5,26C46,286B2,273FF,2549A
24B0F

%Adobe-CNS1-6
21D53,2369E,26021,258DE,24161,2890D,231EA,20A8A,2325E,25DB9
2368E,27B65,26E88,25D99,224BC,224C1,224C9,224CC,235BB,2ADFF


% end
